Tarih;Saat;Tüketim Miktar?(MWh)
7.06.2025;19:00;30.374,47
7.06.2025;20:00;31.891,72
7.06.2025;21:00;31.922,80
7.06.2025;22:00;30.727,76
7.06.2025;23:00;29.579,15
8.06.2025;00:00;28.331,73
8.06.2025;01:00;26.431,23
8.06.2025;02:00;25.246,75
8.06.2025;03:00;24.433,18
8.06.2025;04:00;23.913,47
8.06.2025;05:00;22.628,66
8.06.2025;06:00;22.188,73
8.06.2025;07:00;23.024,91
8.06.2025;08:00;24.836,07
8.06.2025;09:00;27.148,55
8.06.2025;10:00;29.244,67
8.06.2025;11:00;30.348,88
8.06.2025;12:00;30.792,37
8.06.2025;13:00;30.957,96
8.06.2025;14:00;30.945,95
8.06.2025;15:00;30.795,60
8.06.2025;16:00;30.740,52
8.06.2025;17:00;30.999,22
8.06.2025;18:00;31.208,31
8.06.2025;19:00;31.777,62
8.06.2025;20:00;33.265,81
8.06.2025;21:00;33.201,19
8.06.2025;22:00;32.003,86
8.06.2025;23:00;30.734,89
9.06.2025;00:00;28.895,10
9.06.2025;01:00;27.074,43
9.06.2025;02:00;25.738,77
9.06.2025;03:00;24.911,62
9.06.2025;04:00;24.366,09
9.06.2025;05:00;23.246,71
9.06.2025;06:00;22.869,36
9.06.2025;07:00;23.670,77
9.06.2025;08:00;26.076,61
9.06.2025;09:00;28.623,07
9.06.2025;10:00;31.241,91
9.06.2025;11:00;32.826,22
9.06.2025;12:00;33.396,38
9.06.2025;13:00;33.959,59
9.06.2025;14:00;33.980,74
9.06.2025;15:00;33.751,63
9.06.2025;16:00;33.780,04
9.06.2025;17:00;34.100,78
9.06.2025;18:00;34.123,44
9.06.2025;19:00;34.463,54
9.06.2025;20:00;35.853,98
9.06.2025;21:00;35.889,63
9.06.2025;22:00;34.664,30
9.06.2025;23:00;33.091,56
10.06.2025;00:00;31.611,27
10.06.2025;01:00;29.893,47
10.06.2025;02:00;28.586,62
10.06.2025;03:00;27.826,87
10.06.2025;04:00;27.400,53
10.06.2025;05:00;26.681,72
10.06.2025;06:00;27.036,63
10.06.2025;07:00;29.792,38
10.06.2025;08:00;36.025,46
10.06.2025;09:00;40.457,15
10.06.2025;10:00;42.597,30
10.06.2025;11:00;43.829,70
10.06.2025;12:00;43.295,82
10.06.2025;13:00;44.554,13
10.06.2025;14:00;45.613,87
10.06.2025;15:00;45.464,38
10.06.2025;16:00;45.325,09
10.06.2025;17:00;44.586,78
10.06.2025;18:00;43.452,63
10.06.2025;19:00;43.312,62
10.06.2025;20:00;44.366,61
10.06.2025;21:00;44.283,99
10.06.2025;22:00;42.398,24
10.06.2025;23:00;40.224,79
11.06.2025;00:00;37.005,22
11.06.2025;01:00;35.008,95
11.06.2025;02:00;33.656,35
11.06.2025;03:00;32.759,46
11.06.2025;04:00;32.105,09
11.06.2025;05:00;31.222,68
11.06.2025;06:00;31.898,24
11.06.2025;07:00;33.703,86
11.06.2025;08:00;39.553,67
11.06.2025;09:00;42.830,95
11.06.2025;10:00;44.214,28
11.06.2025;11:00;45.675,10
11.06.2025;12:00;44.941,06
11.06.2025;13:00;46.408,31
11.06.2025;14:00;47.542,81
11.06.2025;15:00;47.238,49
11.06.2025;16:00;46.550,25
11.06.2025;17:00;45.705,62
11.06.2025;18:00;44.043,31
11.06.2025;19:00;44.215,12
11.06.2025;20:00;45.407,72
11.06.2025;21:00;45.138,51
11.06.2025;22:00;43.331,89
11.06.2025;23:00;41.303,01
12.06.2025;00:00;38.800,30
12.06.2025;01:00;36.750,97
12.06.2025;02:00;35.127,74
12.06.2025;03:00;34.195,15
12.06.2025;04:00;33.641,93
12.06.2025;05:00;32.536,13
12.06.2025;06:00;32.510,62
12.06.2025;07:00;34.904,50
12.06.2025;08:00;40.469,23
12.06.2025;09:00;43.788,58
12.06.2025;10:00;45.745,09
12.06.2025;11:00;46.994,88
12.06.2025;12:00;46.161,77
12.06.2025;13:00;47.228,02
12.06.2025;14:00;48.341,72
12.06.2025;15:00;48.037,54
12.06.2025;16:00;47.486,64
12.06.2025;17:00;47.132,87
12.06.2025;18:00;45.752,20
12.06.2025;19:00;45.417,47
12.06.2025;20:00;46.441,23
12.06.2025;21:00;46.223,76
12.06.2025;22:00;44.478,54
12.06.2025;23:00;42.303,04
13.06.2025;00:00;39.524,24
13.06.2025;01:00;37.622,92
13.06.2025;02:00;36.119,76
13.06.2025;03:00;34.893,20
13.06.2025;04:00;34.454,92
13.06.2025;05:00;33.507,56
13.06.2025;06:00;33.361,94
13.06.2025;07:00;35.551,79
13.06.2025;08:00;41.293,55
13.06.2025;09:00;44.357,04
13.06.2025;10:00;46.128,31
13.06.2025;11:00;47.261,28
13.06.2025;12:00;45.621,07
13.06.2025;13:00;45.665,40
13.06.2025;14:00;47.718,33
13.06.2025;15:00;47.525,04
13.06.2025;16:00;46.815,55
13.06.2025;17:00;46.405,05
13.06.2025;18:00;44.887,32
13.06.2025;19:00;44.678,38
13.06.2025;20:00;45.701,25
13.06.2025;21:00;45.637,79
13.06.2025;22:00;43.918,76
13.06.2025;23:00;41.739,07
14.06.2025;00:00;39.511,71
14.06.2025;01:00;37.537,22
14.06.2025;02:00;35.990,13
14.06.2025;03:00;34.921,96
14.06.2025;04:00;34.205,73
14.06.2025;05:00;32.996,15
14.06.2025;06:00;32.562,41
14.06.2025;07:00;33.489,43
14.06.2025;08:00;37.284,64
14.06.2025;09:00;40.148,18
14.06.2025;10:00;42.117,61
14.06.2025;11:00;43.447,80
14.06.2025;12:00;42.702,58
14.06.2025;13:00;43.465,10
14.06.2025;14:00;43.642,86
14.06.2025;15:00;43.301,43
