Tarih;Saat;Tüketim Miktar?(MWh)
4.07.2025;22:00;46.119,46
4.07.2025;23:00;44.227,22
5.07.2025;00:00;41.654,43
5.07.2025;01:00;39.792,12
5.07.2025;02:00;38.331,05
5.07.2025;03:00;37.151,75
5.07.2025;04:00;36.464,17
5.07.2025;05:00;35.053,02
5.07.2025;06:00;34.392,89
5.07.2025;07:00;35.564,14
5.07.2025;08:00;39.252,08
5.07.2025;09:00;42.082,90
5.07.2025;10:00;44.010,97
5.07.2025;11:00;45.497,96
5.07.2025;12:00;44.944,94
5.07.2025;13:00;45.739,57
5.07.2025;14:00;46.102,30
5.07.2025;15:00;45.479,01
5.07.2025;16:00;44.751,22
5.07.2025;17:00;44.805,11
5.07.2025;18:00;44.781,48
5.07.2025;19:00;45.241,71
5.07.2025;20:00;46.235,05
5.07.2025;21:00;46.050,21
5.07.2025;22:00;44.255,94
5.07.2025;23:00;42.520,58
6.07.2025;00:00;39.969,51
6.07.2025;01:00;37.991,58
6.07.2025;02:00;36.298,76
6.07.2025;03:00;35.315,76
6.07.2025;04:00;34.563,45
6.07.2025;05:00;33.196,10
6.07.2025;06:00;32.211,88
6.07.2025;07:00;32.555,80
6.07.2025;08:00;33.967,74
6.07.2025;09:00;36.391,17
6.07.2025;10:00;38.529,11
6.07.2025;11:00;39.700,58
6.07.2025;12:00;40.432,12
6.07.2025;13:00;41.718,22
6.07.2025;14:00;42.051,54
6.07.2025;15:00;42.036,85
6.07.2025;16:00;41.683,28
6.07.2025;17:00;42.348,45
6.07.2025;18:00;42.633,40
6.07.2025;19:00;42.987,20
6.07.2025;20:00;44.148,33
6.07.2025;21:00;42.994,66
6.07.2025;22:00;43.112,59
6.07.2025;23:00;41.804,47
7.07.2025;00:00;40.008,12
7.07.2025;01:00;37.569,95
7.07.2025;02:00;36.579,68
7.07.2025;03:00;35.474,02
7.07.2025;04:00;34.946,88
7.07.2025;05:00;33.945,66
7.07.2025;06:00;33.861,43
7.07.2025;07:00;36.587,65
7.07.2025;08:00;43.668,29
7.07.2025;09:00;47.713,32
7.07.2025;10:00;50.095,03
7.07.2025;11:00;51.725,54
7.07.2025;12:00;51.164,33
7.07.2025;13:00;52.436,02
7.07.2025;14:00;54.071,42
7.07.2025;15:00;53.429,21
7.07.2025;16:00;53.426,63
7.07.2025;17:00;52.282,36
7.07.2025;18:00;50.986,30
7.07.2025;19:00;50.512,90
7.07.2025;20:00;51.299,66
7.07.2025;21:00;51.185,55
7.07.2025;22:00;49.369,43
7.07.2025;23:00;47.251,77
8.07.2025;00:00;44.447,40
8.07.2025;01:00;42.371,99
8.07.2025;02:00;40.911,03
8.07.2025;03:00;39.382,68
8.07.2025;04:00;38.572,88
8.07.2025;05:00;37.559,52
8.07.2025;06:00;37.084,56
8.07.2025;07:00;39.234,43
8.07.2025;08:00;45.480,18
8.07.2025;09:00;49.377,59
8.07.2025;10:00;51.186,72
8.07.2025;11:00;52.213,48
8.07.2025;12:00;52.110,03
8.07.2025;13:00;52.809,34
8.07.2025;14:00;54.442,68
8.07.2025;15:00;54.025,02
8.07.2025;16:00;53.635,70
8.07.2025;17:00;52.838,35
8.07.2025;18:00;51.203,06
8.07.2025;19:00;51.021,71
8.07.2025;20:00;51.916,84
8.07.2025;21:00;51.655,27
8.07.2025;22:00;49.772,79
8.07.2025;23:00;47.653,85
9.07.2025;00:00;45.097,58
9.07.2025;01:00;42.927,52
9.07.2025;02:00;41.179,67
9.07.2025;03:00;39.964,11
9.07.2025;04:00;39.150,44
9.07.2025;05:00;37.977,12
9.07.2025;06:00;37.355,01
9.07.2025;07:00;39.408,54
9.07.2025;08:00;46.186,00
9.07.2025;09:00;49.115,16
9.07.2025;10:00;51.638,84
9.07.2025;11:00;53.348,14
9.07.2025;12:00;52.270,91
9.07.2025;13:00;53.767,68
9.07.2025;14:00;55.072,11
9.07.2025;15:00;54.554,26
9.07.2025;16:00;54.351,21
9.07.2025;17:00;53.447,30
9.07.2025;18:00;52.150,52
9.07.2025;19:00;51.924,10
9.07.2025;20:00;52.771,02
9.07.2025;21:00;52.695,78
9.07.2025;22:00;51.044,96
9.07.2025;23:00;49.035,18
10.07.2025;00:00;46.427,09
10.07.2025;01:00;43.735,68
10.07.2025;02:00;42.082,83
10.07.2025;03:00;40.779,28
10.07.2025;04:00;39.851,46
10.07.2025;05:00;38.678,63
10.07.2025;06:00;38.234,08
10.07.2025;07:00;40.571,77
10.07.2025;08:00;46.231,70
10.07.2025;09:00;49.668,12
10.07.2025;10:00;51.478,96
10.07.2025;11:00;52.842,96
10.07.2025;12:00;52.382,13
10.07.2025;13:00;53.306,62
10.07.2025;14:00;54.177,18
10.07.2025;15:00;53.732,10
10.07.2025;16:00;53.213,76
10.07.2025;17:00;52.262,93
10.07.2025;18:00;50.749,68
10.07.2025;19:00;50.483,16
10.07.2025;20:00;51.424,86
10.07.2025;21:00;51.180,94
10.07.2025;22:00;49.816,43
10.07.2025;23:00;47.742,19
11.07.2025;00:00;45.535,08
11.07.2025;01:00;43.340,27
11.07.2025;02:00;41.382,43
11.07.2025;03:00;40.267,95
11.07.2025;04:00;39.308,17
11.07.2025;05:00;38.231,14
11.07.2025;06:00;37.664,48
11.07.2025;07:00;39.536,61
11.07.2025;08:00;46.094,83
11.07.2025;09:00;49.756,42
11.07.2025;10:00;50.964,59
11.07.2025;11:00;52.030,43
11.07.2025;12:00;51.131,94
11.07.2025;13:00;51.411,50
11.07.2025;14:00;53.416,60
11.07.2025;15:00;53.175,43
11.07.2025;16:00;53.158,65
11.07.2025;17:00;52.329,01
11.07.2025;18:00;50.917,46
11.07.2025;19:00;50.261,39
11.07.2025;20:00;51.131,63
11.07.2025;21:00;51.044,38
11.07.2025;22:00;49.455,85
11.07.2025;23:00;47.665,07
12.07.2025;00:00;45.314,36
12.07.2025;01:00;43.160,63
12.07.2025;02:00;41.419,80
12.07.2025;03:00;40.290,83
12.07.2025;04:00;39.347,53
12.07.2025;05:00;37.872,99
12.07.2025;06:00;37.125,77
12.07.2025;07:00;38.462,21
12.07.2025;08:00;42.742,35
12.07.2025;09:00;46.315,77
12.07.2025;10:00;48.514,09
12.07.2025;11:00;49.826,27
12.07.2025;12:00;49.147,75
12.07.2025;13:00;50.200,57
12.07.2025;14:00;50.584,44
12.07.2025;15:00;49.908,14
12.07.2025;16:00;49.334,57
12.07.2025;17:00;48.777,99
12.07.2025;18:00;48.555,43
12.07.2025;19:00;48.820,41
12.07.2025;20:00;49.807,21
12.07.2025;21:00;49.653,01
12.07.2025;22:00;48.065,37
12.07.2025;23:00;45.852,83
13.07.2025;00:00;43.449,09
13.07.2025;01:00;41.510,65
13.07.2025;02:00;39.812,69
13.07.2025;03:00;38.546,23
13.07.2025;04:00;37.588,79
13.07.2025;05:00;36.031,07
13.07.2025;06:00;34.756,21
13.07.2025;07:00;35.116,05
13.07.2025;08:00;36.746,65
13.07.2025;09:00;38.731,21
13.07.2025;10:00;41.184,33
13.07.2025;11:00;42.405,27
13.07.2025;12:00;42.856,41
13.07.2025;13:00;44.110,94
13.07.2025;14:00;43.904,40
13.07.2025;15:00;43.896,46
13.07.2025;16:00;44.333,49
13.07.2025;17:00;43.914,63
13.07.2025;18:00;44.423,66
13.07.2025;19:00;44.947,05
13.07.2025;20:00;46.060,54
13.07.2025;21:00;46.454,64
13.07.2025;22:00;45.434,23
13.07.2025;23:00;44.103,29
14.07.2025;00:00;42.367,93
14.07.2025;01:00;40.609,26
14.07.2025;02:00;39.034,87
14.07.2025;03:00;37.837,13
14.07.2025;04:00;37.009,37
14.07.2025;05:00;35.772,09
14.07.2025;06:00;35.505,24
14.07.2025;07:00;37.855,43
14.07.2025;08:00;44.377,21
14.07.2025;09:00;48.590,56
14.07.2025;10:00;50.758,43
14.07.2025;11:00;52.109,58
14.07.2025;12:00;51.526,27
14.07.2025;13:00;52.870,71
14.07.2025;14:00;54.006,63
14.07.2025;15:00;53.407,08
14.07.2025;16:00;52.856,00
14.07.2025;17:00;51.950,56
14.07.2025;18:00;50.353,04
14.07.2025;19:00;49.611,77
14.07.2025;20:00;50.674,17
14.07.2025;21:00;50.442,72
14.07.2025;22:00;48.667,78
14.07.2025;23:00;46.551,21
15.07.2025;00:00;43.957,78
15.07.2025;01:00;41.638,58
15.07.2025;02:00;39.949,56
15.07.2025;03:00;38.694,63
15.07.2025;04:00;37.807,66
15.07.2025;05:00;36.291,71
15.07.2025;06:00;35.627,63
15.07.2025;07:00;36.927,63
15.07.2025;08:00;40.680,57
15.07.2025;09:00;43.950,56
15.07.2025;10:00;46.726,67
15.07.2025;11:00;48.233,58
15.07.2025;12:00;48.409,40
15.07.2025;13:00;49.263,75
15.07.2025;14:00;49.932,53
15.07.2025;15:00;49.409,44
15.07.2025;16:00;48.790,77
15.07.2025;17:00;48.229,10
15.07.2025;18:00;47.593,65
15.07.2025;19:00;47.491,22
15.07.2025;20:00;48.311,95
15.07.2025;21:00;48.068,49
15.07.2025;22:00;46.519,06
15.07.2025;23:00;44.905,05
16.07.2025;00:00;43.233,68
16.07.2025;01:00;41.345,76
16.07.2025;02:00;39.836,66
16.07.2025;03:00;38.731,29
16.07.2025;04:00;38.084,22
16.07.2025;05:00;37.109,73
16.07.2025;06:00;37.024,92
16.07.2025;07:00;39.756,50
16.07.2025;08:00;46.424,71
16.07.2025;09:00;49.919,23
16.07.2025;10:00;52.091,63
16.07.2025;11:00;53.511,43
16.07.2025;12:00;53.160,35
16.07.2025;13:00;54.065,13
16.07.2025;14:00;55.481,84
16.07.2025;15:00;54.338,38
16.07.2025;16:00;53.629,85
16.07.2025;17:00;52.470,89
16.07.2025;18:00;50.791,97
16.07.2025;19:00;50.445,36
16.07.2025;20:00;51.331,06
16.07.2025;21:00;50.886,64
16.07.2025;22:00;49.239,88
16.07.2025;23:00;47.860,36
17.07.2025;00:00;45.408,83
17.07.2025;01:00;43.363,24
17.07.2025;02:00;41.549,38
17.07.2025;03:00;40.340,30
17.07.2025;04:00;39.339,03
17.07.2025;05:00;38.224,17
17.07.2025;06:00;37.782,60
17.07.2025;07:00;40.005,75
17.07.2025;08:00;46.443,68
17.07.2025;09:00;50.177,05
17.07.2025;10:00;52.159,11
17.07.2025;11:00;53.104,41
17.07.2025;12:00;53.122,88
17.07.2025;13:00;54.422,09
17.07.2025;14:00;55.496,71
17.07.2025;15:00;54.980,13
17.07.2025;16:00;54.633,29
17.07.2025;17:00;53.778,61
17.07.2025;18:00;51.976,38
17.07.2025;19:00;51.875,92
17.07.2025;20:00;53.732,37
17.07.2025;21:00;52.388,12
17.07.2025;22:00;50.865,48
17.07.2025;23:00;48.983,90
18.07.2025;00:00;46.302,09
18.07.2025;01:00;44.150,38
18.07.2025;02:00;42.268,71
18.07.2025;03:00;41.167,44
18.07.2025;04:00;40.250,80
18.07.2025;05:00;39.216,24
18.07.2025;06:00;38.812,78
18.07.2025;07:00;40.916,78
18.07.2025;08:00;47.002,20
18.07.2025;09:00;50.643,35
18.07.2025;10:00;52.757,63
18.07.2025;11:00;54.312,11
18.07.2025;12:00;53.169,07
18.07.2025;13:00;53.190,58
18.07.2025;14:00;55.588,07
18.07.2025;15:00;55.287,49
18.07.2025;16:00;54.995,24
18.07.2025;17:00;53.530,65
18.07.2025;18:00;51.615,03
18.07.2025;19:00;50.942,54
18.07.2025;20:00;51.672,66
18.07.2025;21:00;51.254,98
18.07.2025;22:00;49.703,73
18.07.2025;23:00;47.776,46
19.07.2025;00:00;45.447,63
19.07.2025;01:00;43.278,12
19.07.2025;02:00;41.682,65
19.07.2025;03:00;40.096,15
19.07.2025;04:00;39.232,01
19.07.2025;05:00;38.236,52
19.07.2025;06:00;37.400,08
19.07.2025;07:00;37.612,15
19.07.2025;08:00;41.953,52
19.07.2025;09:00;45.005,49
19.07.2025;10:00;47.288,23
19.07.2025;11:00;48.865,02
19.07.2025;12:00;48.543,82
19.07.2025;13:00;49.612,41
19.07.2025;14:00;50.151,01
19.07.2025;15:00;50.785,20
19.07.2025;16:00;49.910,88
19.07.2025;17:00;49.432,41
19.07.2025;18:00;49.096,66
19.07.2025;19:00;49.121,27
19.07.2025;20:00;50.076,35
19.07.2025;21:00;49.555,49
19.07.2025;22:00;48.237,12
19.07.2025;23:00;46.295,38
20.07.2025;00:00;43.667,14
20.07.2025;01:00;41.604,29
20.07.2025;02:00;39.976,15
20.07.2025;03:00;38.427,06
20.07.2025;04:00;37.477,65
20.07.2025;05:00;36.166,26
20.07.2025;06:00;34.942,54
20.07.2025;07:00;34.226,81
20.07.2025;08:00;35.742,73
20.07.2025;09:00;38.196,30
20.07.2025;10:00;40.450,90
20.07.2025;11:00;42.335,20
20.07.2025;12:00;43.089,83
20.07.2025;13:00;44.171,09
20.07.2025;14:00;44.015,26
20.07.2025;15:00;44.648,73
20.07.2025;16:00;44.438,63
20.07.2025;17:00;44.569,40
20.07.2025;18:00;44.631,22
20.07.2025;19:00;45.076,98
20.07.2025;20:00;46.423,98
20.07.2025;21:00;46.442,48
20.07.2025;22:00;45.396,45
20.07.2025;23:00;43.998,85
21.07.2025;00:00;42.752,18
21.07.2025;01:00;40.722,15
21.07.2025;02:00;39.145,89
21.07.2025;03:00;38.106,42
21.07.2025;04:00;37.244,82
21.07.2025;05:00;36.225,21
21.07.2025;06:00;35.911,37
21.07.2025;07:00;38.760,85
21.07.2025;08:00;45.856,10
21.07.2025;09:00;50.146,53
21.07.2025;10:00;52.743,16
21.07.2025;11:00;54.120,55
21.07.2025;12:00;53.526,76
21.07.2025;13:00;55.128,59
21.07.2025;14:00;56.209,43
21.07.2025;15:00;55.915,69
21.07.2025;16:00;55.569,94
21.07.2025;17:00;54.884,72
21.07.2025;18:00;53.299,28
21.07.2025;19:00;53.120,40
21.07.2025;20:00;53.852,43
21.07.2025;21:00;53.486,28
21.07.2025;22:00;51.745,85
21.07.2025;23:00;49.656,99
22.07.2025;00:00;46.877,99
22.07.2025;01:00;44.795,86
22.07.2025;02:00;42.952,12
22.07.2025;03:00;41.613,32
22.07.2025;04:00;40.745,16
22.07.2025;05:00;39.578,23
22.07.2025;06:00;38.846,03
22.07.2025;07:00;41.140,54
22.07.2025;08:00;47.400,65
22.07.2025;09:00;51.322,30
22.07.2025;10:00;53.315,86
22.07.2025;11:00;54.843,90
22.07.2025;12:00;54.351,51
22.07.2025;13:00;55.793,51
22.07.2025;14:00;57.190,38
22.07.2025;15:00;56.952,00
22.07.2025;16:00;56.611,79
22.07.2025;17:00;55.973,03
22.07.2025;18:00;54.431,97
22.07.2025;19:00;54.128,43
22.07.2025;20:00;53.635,67
22.07.2025;21:00;53.307,35
22.07.2025;22:00;52.685,91
22.07.2025;23:00;50.658,44
23.07.2025;00:00;47.965,24
23.07.2025;01:00;45.665,62
23.07.2025;02:00;43.818,66
23.07.2025;03:00;42.245,90
23.07.2025;04:00;41.395,77
23.07.2025;05:00;40.428,82
23.07.2025;06:00;39.517,33
23.07.2025;07:00;41.792,67
23.07.2025;08:00;48.175,42
23.07.2025;09:00;52.561,35
23.07.2025;10:00;54.889,32
23.07.2025;11:00;56.699,78
23.07.2025;12:00;56.064,14
23.07.2025;13:00;57.481,13
23.07.2025;14:00;58.751,46
23.07.2025;15:00;58.365,12
23.07.2025;16:00;57.990,83
23.07.2025;17:00;56.232,54
23.07.2025;18:00;55.236,80
23.07.2025;19:00;54.159,35
23.07.2025;20:00;54.797,49
23.07.2025;21:00;54.763,18
23.07.2025;22:00;53.166,41
23.07.2025;23:00;51.128,87
24.07.2025;00:00;48.451,22
24.07.2025;01:00;46.405,66
24.07.2025;02:00;44.692,44
24.07.2025;03:00;43.339,71
24.07.2025;04:00;42.141,22
24.07.2025;05:00;41.128,47
24.07.2025;06:00;39.993,52
24.07.2025;07:00;42.844,54
24.07.2025;08:00;49.345,09
24.07.2025;09:00;53.245,00
24.07.2025;10:00;55.353,18
24.07.2025;11:00;56.904,15
24.07.2025;12:00;56.635,26
24.07.2025;13:00;58.168,38
24.07.2025;14:00;59.168,57
24.07.2025;15:00;58.775,98
24.07.2025;16:00;58.315,63
24.07.2025;17:00;57.265,46
24.07.2025;18:00;55.545,86
24.07.2025;19:00;55.274,40
24.07.2025;20:00;56.304,23
24.07.2025;21:00;55.921,81
24.07.2025;22:00;54.251,61
24.07.2025;23:00;52.130,59
25.07.2025;00:00;49.536,69
25.07.2025;01:00;47.243,67
25.07.2025;02:00;45.311,87
25.07.2025;03:00;44.090,65
25.07.2025;04:00;42.808,53
25.07.2025;05:00;41.691,67
25.07.2025;06:00;41.158,89
25.07.2025;07:00;43.142,91
25.07.2025;08:00;49.230,70
25.07.2025;09:00;53.397,29
25.07.2025;10:00;55.862,85
25.07.2025;11:00;57.227,91
25.07.2025;12:00;56.480,36
25.07.2025;13:00;56.747,00
25.07.2025;14:00;58.998,99
25.07.2025;15:00;58.496,17
25.07.2025;16:00;57.792,06
25.07.2025;17:00;56.749,54
25.07.2025;18:00;55.050,43
25.07.2025;19:00;54.747,86
25.07.2025;20:00;55.543,40
25.07.2025;21:00;54.993,09
25.07.2025;22:00;53.317,40
25.07.2025;23:00;51.548,32
26.07.2025;00:00;49.014,87
26.07.2025;01:00;46.974,64
26.07.2025;02:00;45.204,75
26.07.2025;03:00;43.861,42
26.07.2025;04:00;42.850,58
26.07.2025;05:00;41.690,25
26.07.2025;06:00;40.544,48
26.07.2025;07:00;41.599,11
26.07.2025;08:00;45.684,05
26.07.2025;09:00;49.098,53
26.07.2025;10:00;50.662,21
26.07.2025;11:00;52.840,14
26.07.2025;12:00;52.493,01
26.07.2025;13:00;53.393,28
26.07.2025;14:00;53.898,81
26.07.2025;15:00;53.614,47
26.07.2025;16:00;53.167,61
26.07.2025;17:00;52.591,42
26.07.2025;18:00;52.481,82
26.07.2025;19:00;52.521,32
26.07.2025;20:00;53.328,01
26.07.2025;21:00;51.905,57
26.07.2025;22:00;51.089,30
26.07.2025;23:00;49.289,20
27.07.2025;00:00;46.892,51
27.07.2025;01:00;45.050,98
27.07.2025;02:00;43.117,16
27.07.2025;03:00;41.570,41
27.07.2025;04:00;40.689,99
27.07.2025;05:00;39.461,93
27.07.2025;06:00;37.987,67
27.07.2025;07:00;38.243,58
27.07.2025;08:00;40.009,04
27.07.2025;09:00;42.386,08
27.07.2025;10:00;44.747,40
27.07.2025;11:00;46.311,32
27.07.2025;12:00;47.227,25
27.07.2025;13:00;48.213,45
27.07.2025;14:00;48.223,22
27.07.2025;15:00;48.147,75
27.07.2025;16:00;47.873,12
27.07.2025;17:00;48.168,67
27.07.2025;18:00;48.270,72
27.07.2025;19:00;48.740,08
27.07.2025;20:00;50.307,74
27.07.2025;21:00;50.082,94
27.07.2025;22:00;49.130,97
27.07.2025;23:00;47.216,74
28.07.2025;00:00;45.663,01
28.07.2025;01:00;43.748,85
28.07.2025;02:00;41.971,52
28.07.2025;03:00;40.728,26
28.07.2025;04:00;39.849,88
28.07.2025;05:00;38.601,31
28.07.2025;06:00;38.183,52
28.07.2025;07:00;41.167,75
28.07.2025;08:00;48.165,13
28.07.2025;09:00;52.631,41
28.07.2025;10:00;55.352,62
28.07.2025;11:00;57.125,13
28.07.2025;12:00;56.630,00
28.07.2025;13:00;58.044,49
28.07.2025;14:00;59.503,67
28.07.2025;15:00;59.366,13
28.07.2025;16:00;59.130,85
28.07.2025;17:00;58.128,60
28.07.2025;18:00;55.729,21
28.07.2025;19:00;55.086,85
28.07.2025;20:00;55.038,60
28.07.2025;21:00;54.491,59
28.07.2025;22:00;53.571,20
28.07.2025;23:00;51.888,83
29.07.2025;00:00;49.252,27
29.07.2025;01:00;47.023,28
29.07.2025;02:00;45.109,70
29.07.2025;03:00;43.839,08
29.07.2025;04:00;42.503,61
29.07.2025;05:00;41.742,33
29.07.2025;06:00;40.836,01
29.07.2025;07:00;43.086,04
29.07.2025;08:00;49.406,60
29.07.2025;09:00;53.691,70
29.07.2025;10:00;55.975,76
29.07.2025;11:00;57.431,77
29.07.2025;12:00;56.752,43
29.07.2025;13:00;57.799,33
29.07.2025;14:00;58.823,58
29.07.2025;15:00;58.745,71
29.07.2025;16:00;58.232,30
29.07.2025;17:00;57.246,02
29.07.2025;18:00;55.608,45
29.07.2025;19:00;55.272,75
29.07.2025;20:00;55.360,10
29.07.2025;21:00;54.965,61
29.07.2025;22:00;53.793,70
29.07.2025;23:00;51.924,94
30.07.2025;00:00;49.329,92
30.07.2025;01:00;47.092,08
30.07.2025;02:00;45.266,66
30.07.2025;03:00;43.949,85
30.07.2025;04:00;42.851,81
30.07.2025;05:00;42.146,12
30.07.2025;06:00;41.477,53
30.07.2025;07:00;43.459,54
30.07.2025;08:00;49.473,32
30.07.2025;09:00;53.294,42
30.07.2025;10:00;55.389,89
30.07.2025;11:00;56.797,90
30.07.2025;12:00;56.001,95
30.07.2025;13:00;57.026,16
30.07.2025;14:00;58.514,44
30.07.2025;15:00;58.119,20
30.07.2025;16:00;57.511,16
30.07.2025;17:00;56.732,49
30.07.2025;18:00;55.011,39
30.07.2025;19:00;54.485,72
30.07.2025;20:00;55.549,87
30.07.2025;21:00;54.868,89
30.07.2025;22:00;53.122,03
30.07.2025;23:00;51.207,23
31.07.2025;00:00;48.719,05
31.07.2025;01:00;46.512,35
31.07.2025;02:00;44.677,75
31.07.2025;03:00;43.444,06
31.07.2025;04:00;42.240,39
31.07.2025;05:00;41.480,76
31.07.2025;06:00;40.528,53
31.07.2025;07:00;42.810,78
31.07.2025;08:00;49.119,15
31.07.2025;09:00;52.969,26
31.07.2025;10:00;54.544,74
31.07.2025;11:00;55.670,45
31.07.2025;12:00;55.087,15
31.07.2025;13:00;56.469,44
31.07.2025;14:00;57.612,75
31.07.2025;15:00;57.203,88
31.07.2025;16:00;56.829,32
31.07.2025;17:00;56.000,52
31.07.2025;18:00;54.117,15
31.07.2025;19:00;53.969,23
31.07.2025;20:00;54.763,59
31.07.2025;21:00;54.006,59
31.07.2025;22:00;52.260,61
31.07.2025;23:00;50.304,02
1.08.2025;00:00;47.862,39
1.08.2025;01:00;45.732,50
1.08.2025;02:00;44.115,56
1.08.2025;03:00;42.615,43
1.08.2025;04:00;41.641,22
1.08.2025;05:00;39.516,07
1.08.2025;06:00;40.094,63
1.08.2025;07:00;42.126,38
1.08.2025;08:00;48.398,31
1.08.2025;09:00;51.818,18
1.08.2025;10:00;53.691,23
1.08.2025;11:00;53.562,04
1.08.2025;12:00;53.010,24
1.08.2025;13:00;52.602,99
1.08.2025;14:00;55.314,91
1.08.2025;15:00;55.270,96
1.08.2025;16:00;54.787,25
1.08.2025;17:00;53.780,11
1.08.2025;18:00;51.886,41
1.08.2025;19:00;51.694,23
1.08.2025;20:00;52.574,58
1.08.2025;21:00;51.702,35
1.08.2025;22:00;50.127,61
1.08.2025;23:00;48.312,99
2.08.2025;00:00;46.099,40
2.08.2025;01:00;44.469,79
2.08.2025;02:00;42.803,21
2.08.2025;03:00;41.526,82
2.08.2025;04:00;40.564,11
2.08.2025;05:00;39.828,18
2.08.2025;06:00;38.526,90
2.08.2025;07:00;39.705,23
2.08.2025;08:00;43.899,69
2.08.2025;09:00;46.977,56
2.08.2025;10:00;49.032,66
2.08.2025;11:00;50.250,30
2.08.2025;12:00;50.107,20
2.08.2025;13:00;50.952,34
2.08.2025;14:00;51.509,05
2.08.2025;15:00;51.210,66
2.08.2025;16:00;50.518,13
2.08.2025;17:00;49.992,91
2.08.2025;18:00;49.433,14
2.08.2025;19:00;49.115,25
2.08.2025;20:00;50.327,84
2.08.2025;21:00;49.643,66
2.08.2025;22:00;48.011,32
2.08.2025;23:00;46.126,74
3.08.2025;00:00;43.273,47
3.08.2025;01:00;41.340,95
3.08.2025;02:00;39.826,12
3.08.2025;03:00;38.790,31
3.08.2025;04:00;37.690,30
3.08.2025;05:00;36.948,16
3.08.2025;06:00;35.308,70
3.08.2025;07:00;35.470,16
3.08.2025;08:00;37.227,07
3.08.2025;09:00;39.027,42
3.08.2025;10:00;41.170,47
3.08.2025;11:00;42.848,95
3.08.2025;12:00;43.492,65
3.08.2025;13:00;44.608,20
3.08.2025;14:00;45.022,43
3.08.2025;15:00;45.028,89
3.08.2025;16:00;45.096,37
3.08.2025;17:00;44.838,99
3.08.2025;18:00;45.073,39
3.08.2025;19:00;45.678,45
3.08.2025;20:00;47.277,66
3.08.2025;21:00;46.596,35
3.08.2025;22:00;45.545,79
3.08.2025;23:00;44.179,20
4.08.2025;00:00;42.542,93
4.08.2025;01:00;40.636,17
4.08.2025;02:00;39.135,97
4.08.2025;03:00;37.814,72
4.08.2025;04:00;37.018,73
4.08.2025;05:00;36.299,71
4.08.2025;06:00;35.664,02
4.08.2025;07:00;38.184,34
4.08.2025;08:00;45.050,36
4.08.2025;09:00;49.172,75
4.08.2025;10:00;51.376,30
4.08.2025;11:00;52.795,33
4.08.2025;12:00;52.328,02
4.08.2025;13:00;53.571,60
4.08.2025;14:00;55.098,53
4.08.2025;15:00;55.507,95
4.08.2025;16:00;54.554,08
4.08.2025;17:00;53.810,70
4.08.2025;18:00;52.113,36
4.08.2025;19:00;51.950,75
4.08.2025;20:00;53.007,44
4.08.2025;21:00;52.216,34
4.08.2025;22:00;50.622,44
4.08.2025;23:00;48.636,95
5.08.2025;00:00;46.098,28
5.08.2025;01:00;44.054,95
5.08.2025;02:00;42.361,10
5.08.2025;03:00;40.970,07
5.08.2025;04:00;39.798,95
5.08.2025;05:00;39.329,47
5.08.2025;06:00;38.473,95
5.08.2025;07:00;40.877,32
5.08.2025;08:00;46.985,70
5.08.2025;09:00;50.033,84
5.08.2025;10:00;52.633,24
5.08.2025;11:00;53.753,01
5.08.2025;12:00;53.240,30
5.08.2025;13:00;54.649,06
5.08.2025;14:00;56.150,79
5.08.2025;15:00;56.091,02
5.08.2025;16:00;55.825,90
5.08.2025;17:00;54.569,78
5.08.2025;18:00;52.872,84
5.08.2025;19:00;53.049,72
5.08.2025;20:00;54.182,62
5.08.2025;21:00;53.039,40
5.08.2025;22:00;51.393,38
5.08.2025;23:00;49.338,68
6.08.2025;00:00;46.954,40
6.08.2025;01:00;44.841,83
6.08.2025;02:00;43.406,95
6.08.2025;03:00;42.180,42
6.08.2025;04:00;41.141,74
6.08.2025;05:00;40.437,57
6.08.2025;06:00;39.520,06
6.08.2025;07:00;41.863,66
6.08.2025;08:00;47.686,45
6.08.2025;09:00;51.616,94
6.08.2025;10:00;53.507,28
6.08.2025;11:00;54.948,23
6.08.2025;12:00;54.556,40
6.08.2025;13:00;56.000,41
6.08.2025;14:00;56.770,53
6.08.2025;15:00;56.286,14
6.08.2025;16:00;56.536,66
6.08.2025;17:00;55.039,57
6.08.2025;18:00;53.586,69
6.08.2025;19:00;53.647,23
6.08.2025;20:00;54.565,24
6.08.2025;21:00;53.619,09
6.08.2025;22:00;52.113,56
6.08.2025;23:00;49.972,94
7.08.2025;00:00;47.388,81
7.08.2025;01:00;45.412,81
7.08.2025;02:00;43.636,36
7.08.2025;03:00;42.216,96
7.08.2025;04:00;41.085,41
7.08.2025;05:00;40.399,85
7.08.2025;06:00;39.680,28
7.08.2025;07:00;41.480,76
7.08.2025;08:00;47.177,64
7.08.2025;09:00;50.851,86
7.08.2025;10:00;53.076,84
7.08.2025;11:00;54.025,86
7.08.2025;12:00;53.613,60
7.08.2025;13:00;54.624,15
7.08.2025;14:00;56.635,93
7.08.2025;15:00;56.106,52
7.08.2025;16:00;55.957,70
7.08.2025;17:00;54.968,62
7.08.2025;18:00;53.335,93
7.08.2025;19:00;53.506,40
7.08.2025;20:00;54.564,66
7.08.2025;21:00;53.583,26
7.08.2025;22:00;51.771,81
7.08.2025;23:00;49.428,46
8.08.2025;00:00;47.592,79
8.08.2025;01:00;45.563,18
8.08.2025;02:00;43.742,59
8.08.2025;03:00;42.516,11
